"object_id","term_taxonomy_id","term_order"
"655","235","0"
"656","235","0"
"657","235","0"
"658","235","0"
"659","235","0"
"682","10","0"
"682","11","0"
"682","12","0"
"682","39","0"
"682","204","0"
"682","241","0"
"682","242","0"
"682","243","0"
"703","2","0"
"703","11","0"
"703","12","0"
"703","13","0"
"703","17","0"
"703","20","0"
"703","39","0"
"703","230","0"
"703","244","0"
"711","7","0"
"711","13","0"
"711","25","0"
"711","246","0"
"711","247","0"
"711","248","0"
"711","249","0"
"716","2","0"
"716","253","0"
"716","254","0"
"716","255","0"
"716","256","0"
"720","2","0"
"720","21","0"
"720","23","0"
"720","259","0"
"724","2","0"
"724","7","0"
"724","11","0"
"724","12","0"
"724","13","0"
"724","25","0"
"724","28","0"
"724","63","0"
"724","260","0"
"724","261","0"
"724","262","0"
"724","263","0"
"746","264","0"
"747","264","0"
"830","7","0"
"830","82","0"
"830","265","0"
"830","266","0"
"830","267","0"
"854","7","0"
"854","13","0"
"854","216","0"
"854","268","0"
"854","269","0"
"854","270","0"
"857","2","0"
"857","12","0"
"857","13","0"
"857","58","0"
"857","272","0"
"868","2","0"
"872","7","0"
"883","2","0"
"883","7","0"
"883","14","0"
"883","25","0"
"883","41","0"
"883","60","0"
"883","179","0"
"883","204","0"
"893","2","0"
"893","11","0"
"909","2","0"
"909","10","0"
"909","12","0"
"909","20","0"
"909","29","0"
"909","39","0"
"909","63","0"
"909","134","0"
"909","204","0"
"909","276","0"
"909","277","0"
"909","278","0"
"917","2","0"
"917","187","0"
"917","253","0"
"917","280","0"
"926","2","0"
"932","2","0"
"932","7","0"
"932","11","0"
"932","12","0"
"932","14","0"
"932","137","0"
"932","174","0"
"932","262","0"
"932","281","0"
"940","2","0"
"940","25","0"
"940","282","0"
"940","283","0"
"943","2","0"
"943","11","0"
"943","12","0"
"943","13","0"
"943","18","0"
"943","134","0"
"943","284","0"
"951","2","0"
"951","10","0"
"951","11","0"
"951","12","0"
"961","2","0"
"961","7","0"
"961","141","0"
"961","286","0"
"961","287","0"
"987","13","0"
